Month,Day,Time,Year,Condition,Temp_C
October,21,06:01 AM,2018,Rain Shower,15
August,5,09:18 PM,2017,Rain Shower,16
August,27,04:41 AM,2018,Rain Shower,16
July,11,08:27 PM,2018,Rain Shower,16
July,29,03:42 AM,2016,Showers,16
June,21,07:01 AM,2016,Showers,16
September,22,06:03 AM,2016,Few Showers,17
August,21,01:41 PM,2017,Light Rain,17
August,5,04:08 AM,2017,Rain Shower,17
August,6,10:58 PM,2018,Rain Shower,17
August,7,01:13 AM,2018,Rain Shower,17
August,7,03:38 AM,2018,Rain Shower,17
August,26,07:46 PM,2018,Rain Shower,17
August,26,10:01 PM,2018,Rain Shower,17
May,12,03:03 AM,2017,Rain Shower,17
September,5,09:52 PM,2018,Rain Shower,17
April,29,07:02 AM,2016,Showers,17
November,19,04:46 AM,2016,Showers,17
August,18,01:22 AM,2017,Light Rain,18
June,15,04:41 AM,2018,Light Rain,18
May,11,09:58 PM,2017,Light Rain,18
August,1,10:03 PM,2018,Rain,18
August,2,12:33 AM,2018,Rain,18
August,21,05:46 AM,2017,Rain,18
November,21,02:48 AM,2018,Rain,18
August,2,09:37 PM,2018,Rain Shower,18
August,4,02:52 AM,2018,Rain Shower,18
August,5,06:53 PM,2017,Rain Shower,18
August,20,11:51 PM,2017,Rain Shower,18
August,26,05:27 PM,2018,Rain Shower,18
July,2,05:15 PM,2017,Rain Shower,18
June,17,06:39 AM,2018,Rain Shower,18
May,23,09:34 PM,2018,Rain Shower,18
September,1,02:39 AM,2017,Rain Shower,18
June,7,07:03 AM,2016,Showers,18
June,7,08:13 PM,2016,Showers,18
May,13,07:22 PM,2016,Showers,18
May,15,02:50 AM,2016,Showers,18
September,30,04:26 AM,2016,Few Showers,19
April,23,04:46 AM,2017,Light Rain,19
August,6,06:58 AM,2018,Light Rain,19
July,4,05:10 PM,2017,Light Rain,19
July,31,07:48 PM,2018,Light Rain,19
June,18,09:38 PM,2018,Light Rain,19
May,18,01:43 AM,2017,Light Rain,19
May,19,03:44 AM,2017,Light Rain,19
October,5,10:07 PM,2015,Light Rain,19
October,19,06:34 AM,2015,Light Rain,19
April,28,10:02 AM,2017,Rain,19
August,1,05:03 PM,2018,Rain,19
August,18,04:57 PM,2017,Rain,19
July,25,02:32 AM,2018,Rain,19
June,3,10:52 PM,2016,Rain,19
June,5,06:16 PM,2018,Rain,19
June,7,06:47 AM,2018,Rain,19
June,20,10:41 PM,2017,Rain,19
November,9,03:03 PM,2017,Rain,19
September,1,02:02 AM,2016,Rain,19
September,27,05:20 PM,2017,Rain,19
April,1,11:47 PM,2017,Rain Shower,19
August,3,11:32 PM,2018,Rain Shower,19
August,4,07:43 PM,2017,Rain Shower,19
August,10,10:48 PM,2017,Rain Shower,19
August,16,05:42 PM,2017,Rain Shower,19
August,16,09:35 PM,2018,Rain Shower,19
August,17,06:01 PM,2018,Rain Shower,19
June,4,10:16 AM,2018,Rain Shower,19
June,15,05:54 PM,2018,Rain Shower,19
June,16,10:49 PM,2018,Rain Shower,19
May,7,11:07 PM,2017,Rain Shower,19
May,25,10:46 PM,2018,Rain Shower,19
November,20,08:03 PM,2018,Rain Shower,19
October,6,08:25 PM,2018,Rain Shower,19
October,28,11:22 PM,2018,Rain Shower,19
April,29,08:07 PM,2016,Showers,19
June,2,04:51 AM,2016,Showers,19
June,4,06:50 AM,2016,Showers,19
October,5,02:27 AM,2016,Showers,19
September,1,08:02 AM,2016,Showers,19
December,1,12:26 AM,2016,Few Showers,20
September,8,12:31 AM,2016,Few Showers,20
August,19,07:51 PM,2017,Light Rain,20
August,26,06:22 AM,2018,Light Rain,20
January,19,07:34 AM,2016,Light Rain,20
July,22,04:28 AM,2018,Light Rain,20
November,21,12:38 PM,2015,Light Rain,20
October,5,06:56 AM,2015,Light Rain,20
October,5,07:53 PM,2015,Light Rain,20
October,6,06:10 PM,2018,Light Rain,20
October,18,06:53 PM,2015,Light Rain,20
October,18,08:23 AM,2015,Light Rain,20
August,6,11:18 AM,2018,Rain,20
February,6,03:05 AM,2018,Rain,20
September,14,07:49 PM,2018,Rain,20
August,7,03:58 PM,2018,Rain Shower,20
August,15,06:49 PM,2017,Rain Shower,20
August,27,02:41 PM,2018,Rain Shower,20
August,31,06:39 PM,2017,Rain Shower,20
July,21,10:28 PM,2018,Rain Shower,20
July,24,09:22 PM,2018,Rain Shower,20
June,4,04:16 PM,2018,Rain Shower,20
June,8,12:17 AM,2018,Rain Shower,20
November,1,04:36 AM,2017,Rain Shower,20
October,29,09:21 AM,2018,Rain Shower,20
June,2,11:29 PM,2016,Showers,20
October,2,06:07 PM,2016,Few Showers,21
October,6,07:37 AM,2016,Few Showers,21
October,10,05:36 PM,2016,Few Showers,21
October,10,07:21 PM,2016,Few Showers,21
October,30,10:02 AM,2016,Few Showers,21
September,16,01:38 AM,2016,Few Showers,21
September,26,03:31 PM,2016,Few Showers,21
September,27,06:15 PM,2016,Few Showers,21
September,30,06:11 AM,2016,Few Showers,21
April,21,05:09 AM,2018,Light Rain,21
December,7,02:19 PM,2015,Light Rain,21
February,5,06:16 AM,2018,Light Rain,21
February,29,11:55 PM,2016,Light Rain,21
January,19,12:04 AM,2016,Light Rain,21
January,21,04:29 AM,2016,Light Rain,21
January,21,06:44 AM,2016,Light Rain,21
January,23,03:53 AM,2016,Light Rain,21
July,5,04:29 PM,2017,Light Rain,21
June,6,06:57 PM,2018,Light Rain,21
November,2,07:45 AM,2015,Light Rain,21
November,8,04:32 AM,2015,Light Rain,21
November,21,05:11 PM,2015,Light Rain,21
October,3,06:11 PM,2017,Light Rain,21
October,5,12:06 AM,2015,Light Rain,21
October,8,08:33 PM,2017,Light Rain,21
October,23,05:04 AM,2017,Light Rain,21
October,24,11:55 PM,2015,Light Rain,21
October,26,02:07 AM,2018,Light Rain,21
April,24,02:02 PM,2018,Rain,21
August,3,08:19 PM,2017,Rain,21
August,17,01:22 PM,2017,Rain,21
August,20,07:51 PM,2017,Rain,21
January,8,04:42 AM,2018,Rain,21
June,13,06:07 PM,2017,Rain,21
June,16,01:44 PM,2018,Rain,21
