,Data,TempMaxima
0,1961-01-01,32.4
2,1961-01-02,30.9
4,1961-01-03,28.5
6,1961-01-04,28.0
8,1961-01-05,28.0
10,1961-01-06,31.2
12,1961-01-07,30.6
14,1961-01-08,28.3
16,1961-01-09,28.6
18,1961-01-10,28.9
20,1961-01-11,29.4
22,1961-01-12,29.4
24,1961-01-13,31.6
26,1961-01-14,31.7
28,1961-01-15,34.0
30,1961-01-16,34.7
32,1961-01-17,35.4
34,1961-01-18,36.7
36,1961-01-19,30.0
38,1961-01-20,30.4
40,1961-01-21,33.4
42,1961-01-22,34.3
44,1961-01-23,28.6
46,1961-01-24,28.3
48,1961-01-25,29.2
50,1961-01-26,25.3
52,1961-01-27,24.8
54,1961-01-28,25.6
56,1961-01-29,27.1
58,1961-01-30,27.6
60,1961-01-31,27.3
62,1961-02-01,29.8
64,1961-02-02,29.4
66,1961-02-03,30.6
68,1961-02-04,28.8
70,1961-02-05,29.3
72,1961-02-06,30.9
74,1961-02-07,31.3
76,1961-02-08,32.0
78,1961-02-09,29.6
80,1961-02-10,28.3
82,1961-02-11,31.8
84,1961-02-12,29.6
86,1961-02-13,26.1
88,1961-02-14,24.5
90,1961-02-15,23.9
92,1961-02-16,27.2
94,1961-02-17,28.4
96,1961-02-18,29.2
98,1961-02-19,27.7
100,1961-02-20,28.7
102,1961-02-21,32.5
104,1961-02-22,34.1
106,1961-02-23,31.6
108,1961-02-24,30.5
110,1961-02-25,34.5
112,1961-02-26,35.3
114,1961-02-27,36.4
116,1961-02-28,29.1
118,1961-03-01,26.4
120,1961-03-02,27.0
122,1961-03-03,26.1
124,1961-03-04,27.0
126,1961-03-05,29.2
128,1961-03-06,27.6
130,1961-03-07,25.7
132,1961-03-08,31.3
134,1961-03-09,28.9
136,1961-03-10,29.1
138,1961-03-11,29.8
140,1961-03-12,30.3
142,1961-03-13,33.5
144,1961-03-14,32.2
146,1961-03-15,29.5
148,1961-03-16,34.3
150,1961-03-17,35.4
152,1961-03-18,30.9
154,1961-03-19,30.6
156,1961-03-20,29.8
158,1961-03-21,31.6
160,1961-03-22,30.2
162,1961-03-23,30.1
164,1961-03-24,31.2
166,1961-03-25,29.5
168,1961-03-26,30.9
170,1961-03-27,26.3
172,1961-03-28,24.9
174,1961-03-29,25.3
176,1961-03-30,26.1
178,1961-03-31,26.2
180,1961-04-01,29.0
182,1961-04-02,31.3
184,1961-04-03,34.6
186,1961-04-04,34.7
188,1961-04-05,32.4
190,1961-04-06,30.1
192,1961-04-07,24.6
194,1961-04-08,26.6
196,1961-04-09,28.8
198,1961-04-10,29.5
200,1961-04-11,29.2
202,1961-04-12,32.8
204,1961-04-13,31.6
206,1961-04-14,30.1
208,1961-04-15,29.4
210,1961-04-16,28.8
212,1961-04-17,30.4
214,1961-04-18,32.8
216,1961-04-19,27.7
218,1961-04-20,23.3
220,1961-04-21,22.9
222,1961-04-22,26.8
224,1961-04-23,30.7
226,1961-04-24,28.1
228,1961-04-25,25.8
230,1961-04-26,25.0
232,1961-04-27,25.1
234,1961-04-28,26.6
236,1961-04-29,25.5
238,1961-04-30,27.4
240,1961-05-01,26.0
242,1961-05-02,26.2
244,1961-05-03,26.4
246,1961-05-04,24.8
248,1961-05-05,26.6
250,1961-05-06,27.9
252,1961-05-07,26.4
254,1961-05-08,31.4
256,1961-05-09,27.4
258,1961-05-10,22.8
260,1961-05-11,23.3
262,1961-05-12,24.4
264,1961-05-13,24.9
266,1961-05-14,26.9
268,1961-05-15,27.1
270,1961-05-16,27.3
272,1961-05-17,26.6
274,1961-05-18,29.9
276,1961-05-19,25.6
278,1961-05-20,23.9
280,1961-05-21,23.6
282,1961-05-22,23.5
284,1961-05-23,24.5
286,1961-05-24,25.2
288,1961-05-25,24.1
290,1961-05-26,23.9
292,1961-05-27,24.3
294,1961-05-28,26.6
296,1961-05-29,26.2
298,1961-05-30,25.9
300,1961-05-31,25.2
302,1961-06-01,25.0
304,1961-06-02,25.4
306,1961-06-03,26.6
308,1961-06-04,29.5
