,Unnamed: 0,Data,TempMaxima
0,0,1961-01-01,32.4
1,2,1961-01-02,30.9
2,4,1961-01-03,28.5
3,6,1961-01-04,28.0
4,8,1961-01-05,28.0
5,10,1961-01-06,31.2
6,12,1961-01-07,30.6
7,14,1961-01-08,28.3
8,16,1961-01-09,28.6
9,18,1961-01-10,28.9
10,20,1961-01-11,29.4
11,22,1961-01-12,29.4
12,24,1961-01-13,31.6
13,26,1961-01-14,31.7
14,28,1961-01-15,34.0
15,30,1961-01-16,34.7
16,32,1961-01-17,35.4
17,34,1961-01-18,36.7
18,36,1961-01-19,30.0
19,38,1961-01-20,30.4
20,40,1961-01-21,33.4
21,42,1961-01-22,34.3
22,44,1961-01-23,28.6
23,46,1961-01-24,28.3
24,48,1961-01-25,29.2
25,50,1961-01-26,25.3
26,52,1961-01-27,24.8
27,54,1961-01-28,25.6
28,56,1961-01-29,27.1
29,58,1961-01-30,27.6
30,60,1961-01-31,27.3
31,62,1961-02-01,29.8
32,64,1961-02-02,29.4
33,66,1961-02-03,30.6
34,68,1961-02-04,28.8
35,70,1961-02-05,29.3
36,72,1961-02-06,30.9
37,74,1961-02-07,31.3
38,76,1961-02-08,32.0
39,78,1961-02-09,29.6
40,80,1961-02-10,28.3
41,82,1961-02-11,31.8
42,84,1961-02-12,29.6
43,86,1961-02-13,26.1
44,88,1961-02-14,24.5
45,90,1961-02-15,23.9
46,92,1961-02-16,27.2
47,94,1961-02-17,28.4
48,96,1961-02-18,29.2
49,98,1961-02-19,27.7
50,100,1961-02-20,28.7
51,102,1961-02-21,32.5
52,104,1961-02-22,34.1
53,106,1961-02-23,31.6
54,108,1961-02-24,30.5
55,110,1961-02-25,34.5
56,112,1961-02-26,35.3
57,114,1961-02-27,36.4
58,116,1961-02-28,29.1
59,118,1961-03-01,26.4
60,120,1961-03-02,27.0
61,122,1961-03-03,26.1
62,124,1961-03-04,27.0
63,126,1961-03-05,29.2
64,128,1961-03-06,27.6
65,130,1961-03-07,25.7
66,132,1961-03-08,31.3
67,134,1961-03-09,28.9
68,136,1961-03-10,29.1
69,138,1961-03-11,29.8
70,140,1961-03-12,30.3
71,142,1961-03-13,33.5
72,144,1961-03-14,32.2
73,146,1961-03-15,29.5
74,148,1961-03-16,34.3
75,150,1961-03-17,35.4
76,152,1961-03-18,30.9
77,154,1961-03-19,30.6
78,156,1961-03-20,29.8
79,158,1961-03-21,31.6
80,160,1961-03-22,30.2
81,162,1961-03-23,30.1
82,164,1961-03-24,31.2
83,166,1961-03-25,29.5
84,168,1961-03-26,30.9
85,170,1961-03-27,26.3
86,172,1961-03-28,24.9
87,174,1961-03-29,25.3
88,176,1961-03-30,26.1
89,178,1961-03-31,26.2
90,180,1961-04-01,29.0
91,182,1961-04-02,31.3
92,184,1961-04-03,34.6
93,186,1961-04-04,34.7
94,188,1961-04-05,32.4
95,190,1961-04-06,30.1
96,192,1961-04-07,24.6
97,194,1961-04-08,26.6
98,196,1961-04-09,28.8
99,198,1961-04-10,29.5
100,200,1961-04-11,29.2
101,202,1961-04-12,32.8
102,204,1961-04-13,31.6
103,206,1961-04-14,30.1
104,208,1961-04-15,29.4
105,210,1961-04-16,28.8
106,212,1961-04-17,30.4
107,214,1961-04-18,32.8
108,216,1961-04-19,27.7
109,218,1961-04-20,23.3
110,220,1961-04-21,22.9
111,222,1961-04-22,26.8
112,224,1961-04-23,30.7
113,226,1961-04-24,28.1
114,228,1961-04-25,25.8
115,230,1961-04-26,25.0
116,232,1961-04-27,25.1
117,234,1961-04-28,26.6
118,236,1961-04-29,25.5
119,238,1961-04-30,27.4
120,240,1961-05-01,26.0
121,242,1961-05-02,26.2
122,244,1961-05-03,26.4
123,246,1961-05-04,24.8
124,248,1961-05-05,26.6
125,250,1961-05-06,27.9
126,252,1961-05-07,26.4
127,254,1961-05-08,31.4
128,256,1961-05-09,27.4
129,258,1961-05-10,22.8
130,260,1961-05-11,23.3
131,262,1961-05-12,24.4
132,264,1961-05-13,24.9
133,266,1961-05-14,26.9
134,268,1961-05-15,27.1
135,270,1961-05-16,27.3
136,272,1961-05-17,26.6
137,274,1961-05-18,29.9
138,276,1961-05-19,25.6
139,278,1961-05-20,23.9
140,280,1961-05-21,23.6
141,282,1961-05-22,23.5
142,284,1961-05-23,24.5
143,286,1961-05-24,25.2
144,288,1961-05-25,24.1
145,290,1961-05-26,23.9
146,292,1961-05-27,24.3
147,294,1961-05-28,26.6
148,296,1961-05-29,26.2
149,298,1961-05-30,25.9
150,300,1961-05-31,25.2
151,302,1961-06-01,25.0
152,304,1961-06-02,25.4
153,306,1961-06-03,26.6
154,308,1961-06-04,29.5
155,310,1961-06-05,28.7
156,312,1961-06-06,26.1
157,314,1961-06-07,26.1
158,316,1961-06-08,27.3
159,318,1961-06-09,28.5
160,320,1961-06-10,28.6
161,322,1961-06-11,29.5
162,324,1961-06-12,25.6
163,326,1961-06-13,27.9
164,328,1961-06-14,25.3
165,330,1961-06-15,21.8
166,332,1961-06-16,18.5
167,334,1961-06-17,19.4
168,336,1961-06-18,21.5
169,338,1961-06-19,25.7
170,340,1961-06-20,26.0
171,342,1961-06-21,25.8
172,344,1961-06-22,23.2
173,346,1961-06-23,22.9
174,348,1961-06-24,23.8
175,350,1961-06-25,24.4
176,352,1961-06-26,25.8
177,354,1961-06-27,25.9
178,356,1961-06-28,26.5
179,358,1961-06-29,28.6
180,360,1961-06-30,25.3
181,362,1961-07-01,25.6
182,364,1961-07-02,27.2
183,366,1961-07-03,27.4
184,368,1961-07-04,24.4
185,370,1961-07-05,24.2
186,372,1961-07-06,26.3
187,374,1961-07-07,28.9
188,376,1961-07-08,26.8
189,378,1961-07-09,19.9
190,380,1961-07-10,21.0
191,382,1961-07-11,22.5
192,384,1961-07-12,23.8
193,386,1961-07-13,27.4
194,388,1961-07-14,28.1
195,390,1961-07-15,24.5
196,392,1961-07-16,26.7
197,394,1961-07-17,26.2
198,396,1961-07-18,28.2
199,398,1961-07-19,25.1
200,400,1961-07-20,24.7
201,402,1961-07-21,29.4
202,404,1961-07-22,29.1
203,406,1961-07-23,24.4
204,408,1961-07-24,27.3
205,410,1961-07-25,30.5
206,412,1961-07-26,30.1
207,414,1961-07-27,21.4
208,416,1961-07-28,22.7
209,418,1961-07-29,21.0
210,420,1961-07-30,22.8
211,422,1961-07-31,24.3
212,424,1961-08-01,24.5
213,426,1961-08-02,22.4
214,428,1961-08-03,23.1
215,430,1961-08-04,26.0
216,432,1961-08-05,23.3
217,434,1961-08-06,26.2
218,436,1961-08-07,27.6
219,438,1961-08-08,26.2
220,440,1961-08-09,24.3
221,442,1961-08-10,25.2
222,444,1961-08-11,28.0
223,446,1961-08-12,23.7
224,448,1961-08-13,28.3
225,450,1961-08-14,30.1
226,452,1961-08-15,25.5
227,454,1961-08-16,29.1
228,456,1961-08-17,25.6
229,458,1961-08-18,24.7
230,460,1961-08-19,24.1
231,462,1961-08-20,27.1
232,464,1961-08-21,26.3
233,466,1961-08-22,23.1
234,468,1961-08-23,26.4
235,470,1961-08-24,27.9
236,472,1961-08-25,32.8
237,474,1961-08-26,28.0
238,476,1961-08-27,28.2
239,478,1961-08-28,30.8
240,480,1961-08-29,34.1
241,482,1961-08-30,33.8
242,484,1961-08-31,29.2
243,486,1961-09-01,25.7
244,488,1961-09-02,26.9
245,490,1961-09-03,31.0
246,492,1961-09-04,34.6
247,494,1961-09-05,29.2
248,496,1961-09-06,27.4
249,498,1961-09-07,24.1
250,500,1961-09-08,22.5
251,502,1961-09-09,26.7
252,504,1961-09-10,30.1
253,506,1961-09-11,26.7
254,508,1961-09-12,28.6
255,510,1961-09-13,25.5
256,512,1961-09-14,26.1
257,514,1961-09-15,28.9
258,516,1961-09-16,27.4
259,518,1961-09-17,28.4
260,520,1961-09-18,26.7
261,522,1961-09-19,25.5
262,524,1961-09-20,29.1
263,526,1961-09-21,27.4
264,528,1961-09-22,25.6
265,530,1961-09-23,23.7
266,532,1961-09-24,27.7
267,534,1961-09-25,29.4
268,536,1961-09-26,33.8
269,538,1961-09-27,35.4
270,540,1961-09-28,35.3
271,542,1961-09-29,29.6
272,544,1961-09-30,22.0
273,546,1961-10-01,23.6
274,548,1961-10-02,28.9
275,550,1961-10-03,27.9
276,552,1961-10-04,27.3
277,554,1961-10-05,27.6
278,556,1961-10-06,30.0
279,558,1961-10-07,29.5
280,560,1961-10-08,26.7
281,562,1961-10-09,27.5
282,564,1961-10-10,30.1
283,566,1961-10-11,28.0
284,568,1961-10-12,33.3
285,570,1961-10-13,33.7
286,572,1961-10-14,35.4
287,574,1961-10-15,31.4
288,576,1961-10-16,24.2
289,578,1961-10-17,28.8
290,580,1961-10-18,29.1
291,582,1961-10-19,28.3
292,584,1961-10-20,31.3
293,586,1961-10-21,32.8
294,588,1961-10-22,33.2
295,590,1961-10-23,28.6
296,592,1961-10-24,26.9
297,594,1961-10-25,32.0
298,596,1961-10-26,30.5
299,598,1961-10-27,24.3
300,600,1961-10-28,24.7
301,602,1961-10-29,25.7
302,604,1961-10-30,29.7
303,606,1961-10-31,27.6
304,608,1961-11-01,29.1
305,610,1961-11-02,28.1
306,612,1961-11-03,32.3
307,614,1961-11-04,29.0
308,616,1961-11-05,29.4
309,618,1961-11-06,27.5
310,620,1961-11-07,24.5
311,622,1961-11-08,25.2
312,624,1961-11-09,24.9
313,626,1961-11-10,33.0
314,628,1961-11-11,27.8
315,630,1961-11-12,22.1
316,632,1961-11-13,23.7
317,634,1961-11-14,29.7
318,636,1961-11-15,26.3
319,638,1961-11-16,24.8
320,640,1961-11-17,25.2
321,642,1961-11-18,25.4
322,644,1961-11-19,28.1
323,646,1961-11-20,33.7
324,648,1961-11-21,30.7
325,650,1961-11-22,32.4
326,652,1961-11-23,29.6
327,654,1961-11-24,30.4
328,656,1961-11-25,28.7
329,658,1961-11-26,31.0
330,660,1961-11-27,32.0
331,662,1961-11-28,28.3
332,664,1961-11-29,36.1
333,666,1961-11-30,32.0
334,668,1961-12-01,30.7
335,670,1961-12-02,32.5
336,672,1961-12-03,31.8
337,674,1961-12-04,22.6
338,676,1961-12-05,23.7
339,678,1961-12-06,21.6
340,680,1961-12-07,22.1
341,682,1961-12-08,26.7
342,684,1961-12-09,26.3
343,686,1961-12-10,28.2
344,688,1961-12-11,28.7
345,690,1961-12-12,29.7
346,692,1961-12-13,26.8
347,694,1961-12-14,26.4
348,696,1961-12-15,27.3
349,698,1961-12-16,28.7
350,700,1961-12-17,34.3
351,702,1961-12-18,29.2
352,704,1961-12-19,31.7
353,706,1961-12-20,33.9
354,708,1961-12-21,34.3
355,710,1961-12-22,35.3
356,712,1961-12-23,36.6
357,714,1961-12-24,32.1
358,716,1961-12-25,28.0
359,718,1961-12-26,27.4
360,720,1961-12-27,30.0
361,722,1961-12-28,33.5
362,724,1961-12-29,35.7
363,726,1961-12-30,26.3
364,728,1961-12-31,25.5
365,730,1962-01-01,25.7
366,732,1962-01-02,30.1
367,734,1962-01-03,30.8
368,736,1962-01-04,26.7
369,738,1962-01-05,31.4
370,740,1962-01-06,29.7
371,742,1962-01-07,30.4
372,744,1962-01-08,27.3
373,746,1962-01-09,27.8
374,748,1962-01-10,27.2
375,750,1962-01-11,27.8
376,752,1962-01-12,27.8
377,754,1962-01-13,27.9
378,756,1962-01-14,31.0
379,758,1962-01-15,32.6
380,760,1962-01-16,26.3
381,762,1962-01-17,23.6
382,764,1962-01-18,27.7
383,766,1962-01-19,29.4
384,768,1962-01-20,24.6
385,770,1962-01-21,25.3
386,772,1962-01-22,27.5
387,774,1962-01-23,32.0
388,776,1962-01-24,30.9
389,778,1962-01-25,32.4
390,780,1962-01-26,28.2
391,782,1962-01-27,26.5
392,784,1962-01-28,27.3
393,786,1962-01-29,30.4
394,788,1962-01-30,29.1
395,790,1962-01-31,29.6
396,792,1962-02-01,26.9
397,794,1962-02-02,31.0
398,796,1962-02-03,32.6
399,798,1962-02-04,32.6
400,800,1962-02-05,29.6
401,802,1962-02-06,23.7
402,804,1962-02-07,24.0
403,806,1962-02-08,28.7
404,808,1962-02-09,28.9
405,810,1962-02-10,27.7
406,812,1962-02-11,27.1
407,814,1962-02-12,27.1
408,816,1962-02-13,28.3
409,818,1962-02-14,29.1
410,820,1962-02-15,32.7
411,822,1962-02-16,30.1
412,824,1962-02-17,34.2
413,826,1962-02-18,37.7
414,828,1962-02-19,27.3
415,830,1962-02-20,26.7
416,832,1962-02-21,30.1
417,834,1962-02-22,34.9
418,836,1962-02-23,35.4
419,838,1962-02-24,28.9
420,840,1962-02-25,23.5
421,842,1962-02-26,27.2
422,844,1962-02-27,27.1
423,846,1962-02-28,27.6
424,848,1962-03-01,27.2
425,850,1962-03-02,27.5
426,852,1962-03-03,27.8
427,854,1962-03-04,27.3
428,856,1962-03-05,27.6
429,858,1962-03-06,26.7
430,860,1962-03-07,28.8
431,862,1962-03-08,28.3
432,864,1962-03-09,29.9
433,866,1962-03-10,34.2
434,868,1962-03-11,34.9
435,870,1962-03-12,35.0
436,872,1962-03-13,29.2
437,874,1962-03-14,28.7
438,876,1962-03-15,27.6
439,878,1962-03-16,29.1
440,880,1962-03-17,29.4
441,882,1962-03-18,29.3
442,884,1962-03-19,32.6
443,886,1962-03-20,31.6
444,888,1962-03-21,29.4
445,890,1962-03-22,30.5
