,Month,Day,Time,Year,Condition,Temp_C
0,October,21,1900-01-01 06:01:00,2018,Rain Shower,15
1,August,5,1900-01-01 21:18:00,2017,Rain Shower,16
2,August,27,1900-01-01 04:41:00,2018,Rain Shower,16
3,July,11,1900-01-01 20:27:00,2018,Rain Shower,16
4,July,29,1900-01-01 03:42:00,2016,Showers,16
5,June,21,1900-01-01 07:01:00,2016,Showers,16
6,September,22,1900-01-01 06:03:00,2016,Few Showers,17
7,August,21,1900-01-01 13:41:00,2017,Light Rain,17
8,August,5,1900-01-01 04:08:00,2017,Rain Shower,17
9,August,6,1900-01-01 22:58:00,2018,Rain Shower,17
10,August,7,1900-01-01 01:13:00,2018,Rain Shower,17
11,August,7,1900-01-01 03:38:00,2018,Rain Shower,17
12,August,26,1900-01-01 19:46:00,2018,Rain Shower,17
13,August,26,1900-01-01 22:01:00,2018,Rain Shower,17
14,May,12,1900-01-01 03:03:00,2017,Rain Shower,17
15,September,5,1900-01-01 21:52:00,2018,Rain Shower,17
16,April,29,1900-01-01 07:02:00,2016,Showers,17
17,November,19,1900-01-01 04:46:00,2016,Showers,17
18,August,18,1900-01-01 01:22:00,2017,Light Rain,18
19,June,15,1900-01-01 04:41:00,2018,Light Rain,18
20,May,11,1900-01-01 21:58:00,2017,Light Rain,18
21,August,1,1900-01-01 22:03:00,2018,Rain,18
22,August,2,1900-01-01 00:33:00,2018,Rain,18
23,August,21,1900-01-01 05:46:00,2017,Rain,18
24,November,21,1900-01-01 02:48:00,2018,Rain,18
25,August,2,1900-01-01 21:37:00,2018,Rain Shower,18
26,August,4,1900-01-01 02:52:00,2018,Rain Shower,18
27,August,5,1900-01-01 18:53:00,2017,Rain Shower,18
28,August,20,1900-01-01 23:51:00,2017,Rain Shower,18
29,August,26,1900-01-01 17:27:00,2018,Rain Shower,18
30,July,2,1900-01-01 17:15:00,2017,Rain Shower,18
31,June,17,1900-01-01 06:39:00,2018,Rain Shower,18
32,May,23,1900-01-01 21:34:00,2018,Rain Shower,18
33,September,1,1900-01-01 02:39:00,2017,Rain Shower,18
34,June,7,1900-01-01 07:03:00,2016,Showers,18
35,June,7,1900-01-01 20:13:00,2016,Showers,18
36,May,13,1900-01-01 19:22:00,2016,Showers,18
37,May,15,1900-01-01 02:50:00,2016,Showers,18
38,September,30,1900-01-01 04:26:00,2016,Few Showers,19
39,April,23,1900-01-01 04:46:00,2017,Light Rain,19
40,August,6,1900-01-01 06:58:00,2018,Light Rain,19
41,July,4,1900-01-01 17:10:00,2017,Light Rain,19
42,July,31,1900-01-01 19:48:00,2018,Light Rain,19
43,June,18,1900-01-01 21:38:00,2018,Light Rain,19
44,May,18,1900-01-01 01:43:00,2017,Light Rain,19
45,May,19,1900-01-01 03:44:00,2017,Light Rain,19
46,October,5,1900-01-01 22:07:00,2015,Light Rain,19
47,October,19,1900-01-01 06:34:00,2015,Light Rain,19
48,April,28,1900-01-01 10:02:00,2017,Rain,19
49,August,1,1900-01-01 17:03:00,2018,Rain,19
50,August,18,1900-01-01 16:57:00,2017,Rain,19
51,July,25,1900-01-01 02:32:00,2018,Rain,19
52,June,3,1900-01-01 22:52:00,2016,Rain,19
53,June,5,1900-01-01 18:16:00,2018,Rain,19
54,June,7,1900-01-01 06:47:00,2018,Rain,19
55,June,20,1900-01-01 22:41:00,2017,Rain,19
56,November,9,1900-01-01 15:03:00,2017,Rain,19
57,September,1,1900-01-01 02:02:00,2016,Rain,19
58,September,27,1900-01-01 17:20:00,2017,Rain,19
59,April,1,1900-01-01 23:47:00,2017,Rain Shower,19
60,August,3,1900-01-01 23:32:00,2018,Rain Shower,19
61,August,4,1900-01-01 19:43:00,2017,Rain Shower,19
62,August,10,1900-01-01 22:48:00,2017,Rain Shower,19
63,August,16,1900-01-01 17:42:00,2017,Rain Shower,19
64,August,16,1900-01-01 21:35:00,2018,Rain Shower,19
65,August,17,1900-01-01 18:01:00,2018,Rain Shower,19
66,June,4,1900-01-01 10:16:00,2018,Rain Shower,19
67,June,15,1900-01-01 17:54:00,2018,Rain Shower,19
68,June,16,1900-01-01 22:49:00,2018,Rain Shower,19
69,May,7,1900-01-01 23:07:00,2017,Rain Shower,19
70,May,25,1900-01-01 22:46:00,2018,Rain Shower,19
71,November,20,1900-01-01 20:03:00,2018,Rain Shower,19
72,October,6,1900-01-01 20:25:00,2018,Rain Shower,19
73,October,28,1900-01-01 23:22:00,2018,Rain Shower,19
