Year,Month,Day,Time,Temp_C,Condition
2018,Oct,21,06:01:00,15,Rain Shower
2017,Aug,5,21:18:00,16,Rain Shower
2018,Aug,27,04:41:00,16,Rain Shower
2018,Jul,11,20:27:00,16,Rain Shower
2016,Jul,29,03:42:00,16,Showers
2016,Jun,21,07:01:00,16,Showers
2016,Sep,22,06:03:00,17,Few Showers
2017,Aug,21,13:41:00,17,Light Rain
2017,Aug,5,04:08:00,17,Rain Shower
2018,Aug,6,22:58:00,17,Rain Shower
2018,Aug,7,01:13:00,17,Rain Shower
2018,Aug,7,03:38:00,17,Rain Shower
2018,Aug,26,19:46:00,17,Rain Shower
2018,Aug,26,22:01:00,17,Rain Shower
2017,May,12,03:03:00,17,Rain Shower
2018,Sep,5,21:52:00,17,Rain Shower
2016,Apr,29,07:02:00,17,Showers
2016,Nov,19,04:46:00,17,Showers
2017,Aug,18,01:22:00,18,Light Rain
2018,Jun,15,04:41:00,18,Light Rain
2017,May,11,21:58:00,18,Light Rain
2018,Aug,1,22:03:00,18,Rain
2018,Aug,2,00:33:00,18,Rain
2017,Aug,21,05:46:00,18,Rain
2018,Nov,21,02:48:00,18,Rain
2018,Aug,2,21:37:00,18,Rain Shower
2018,Aug,4,02:52:00,18,Rain Shower
2017,Aug,5,18:53:00,18,Rain Shower
2017,Aug,20,23:51:00,18,Rain Shower
2018,Aug,26,17:27:00,18,Rain Shower
2017,Jul,2,17:15:00,18,Rain Shower
2018,Jun,17,06:39:00,18,Rain Shower
2018,May,23,21:34:00,18,Rain Shower
2017,Sep,1,02:39:00,18,Rain Shower
2016,Jun,7,07:03:00,18,Showers
2016,Jun,7,20:13:00,18,Showers
2016,May,13,19:22:00,18,Showers
2016,May,15,02:50:00,18,Showers
2016,Sep,30,04:26:00,19,Few Showers
2017,Apr,23,04:46:00,19,Light Rain
2018,Aug,6,06:58:00,19,Light Rain
2017,Jul,4,17:10:00,19,Light Rain
2018,Jul,31,19:48:00,19,Light Rain
2018,Jun,18,21:38:00,19,Light Rain
2017,May,18,01:43:00,19,Light Rain
2017,May,19,03:44:00,19,Light Rain
2015,Oct,5,22:07:00,19,Light Rain
2015,Oct,19,06:34:00,19,Light Rain
2017,Apr,28,10:02:00,19,Rain
2018,Aug,1,17:03:00,19,Rain
2017,Aug,18,16:57:00,19,Rain
2018,Jul,25,02:32:00,19,Rain
2016,Jun,3,22:52:00,19,Rain
2018,Jun,5,18:16:00,19,Rain
2018,Jun,7,06:47:00,19,Rain
2017,Jun,20,22:41:00,19,Rain
2017,Nov,9,15:03:00,19,Rain
2016,Sep,1,02:02:00,19,Rain
2017,Sep,27,17:20:00,19,Rain
2017,Apr,1,23:47:00,19,Rain Shower
2018,Aug,3,23:32:00,19,Rain Shower
2017,Aug,4,19:43:00,19,Rain Shower
2017,Aug,10,22:48:00,19,Rain Shower
2017,Aug,16,17:42:00,19,Rain Shower
2018,Aug,16,21:35:00,19,Rain Shower
2018,Aug,17,18:01:00,19,Rain Shower
2018,Jun,4,10:16:00,19,Rain Shower
2018,Jun,15,17:54:00,19,Rain Shower
2018,Jun,16,22:49:00,19,Rain Shower
2017,May,7,23:07:00,19,Rain Shower
2018,May,25,22:46:00,19,Rain Shower
2018,Nov,20,20:03:00,19,Rain Shower
2018,Oct,6,20:25:00,19,Rain Shower
2018,Oct,28,23:22:00,19,Rain Shower
2016,Apr,29,20:07:00,19,Showers
2016,Jun,2,04:51:00,19,Showers
2016,Jun,4,06:50:00,19,Showers
2016,Oct,5,02:27:00,19,Showers
2016,Sep,1,08:02:00,19,Showers
2016,Dec,1,00:26:00,20,Few Showers
2016,Sep,8,00:31:00,20,Few Showers
2017,Aug,19,19:51:00,20,Light Rain
2018,Aug,26,06:22:00,20,Light Rain
2016,Jan,19,07:34:00,20,Light Rain
2018,Jul,22,04:28:00,20,Light Rain
2015,Nov,21,12:38:00,20,Light Rain
2015,Oct,5,06:56:00,20,Light Rain
2015,Oct,5,19:53:00,20,Light Rain
2018,Oct,6,18:10:00,20,Light Rain
2015,Oct,18,18:53:00,20,Light Rain
2015,Oct,18,08:23:00,20,Light Rain
2018,Aug,6,11:18:00,20,Rain
2018,Feb,6,03:05:00,20,Rain
2018,Sep,14,19:49:00,20,Rain
2018,Aug,7,15:58:00,20,Rain Shower
2017,Aug,15,18:49:00,20,Rain Shower
2018,Aug,27,14:41:00,20,Rain Shower
2017,Aug,31,18:39:00,20,Rain Shower
2018,Jul,21,22:28:00,20,Rain Shower
2018,Jul,24,21:22:00,20,Rain Shower
2018,Jun,4,16:16:00,20,Rain Shower
2018,Jun,8,00:17:00,20,Rain Shower
2017,Nov,1,04:36:00,20,Rain Shower
2018,Oct,29,09:21:00,20,Rain Shower
2016,Jun,2,23:29:00,20,Showers
2016,Oct,2,18:07:00,21,Few Showers
2016,Oct,6,07:37:00,21,Few Showers
2016,Oct,10,17:36:00,21,Few Showers
2016,Oct,10,19:21:00,21,Few Showers
2016,Oct,30,10:02:00,21,Few Showers
2016,Sep,16,01:38:00,21,Few Showers
2016,Sep,26,15:31:00,21,Few Showers
2016,Sep,27,18:15:00,21,Few Showers
2016,Sep,30,06:11:00,21,Few Showers
2018,Apr,21,05:09:00,21,Light Rain
2015,Dec,7,14:19:00,21,Light Rain
2018,Feb,5,06:16:00,21,Light Rain
2016,Feb,29,23:55:00,21,Light Rain
2016,Jan,19,00:04:00,21,Light Rain
2016,Jan,21,04:29:00,21,Light Rain
2016,Jan,21,06:44:00,21,Light Rain
2016,Jan,23,03:53:00,21,Light Rain
2017,Jul,5,16:29:00,21,Light Rain
2018,Jun,6,18:57:00,21,Light Rain
2015,Nov,2,07:45:00,21,Light Rain
2015,Nov,8,04:32:00,21,Light Rain
2015,Nov,21,17:11:00,21,Light Rain
2017,Oct,3,18:11:00,21,Light Rain
2015,Oct,5,00:06:00,21,Light Rain
2017,Oct,8,20:33:00,21,Light Rain
2017,Oct,23,05:04:00,21,Light Rain
2015,Oct,24,23:55:00,21,Light Rain
2018,Oct,26,02:07:00,21,Light Rain
2018,Apr,24,14:02:00,21,Rain
2017,Aug,3,20:19:00,21,Rain
2017,Aug,17,13:22:00,21,Rain
2017,Aug,20,19:51:00,21,Rain
2018,Jan,8,04:42:00,21,Rain
2017,Jun,13,18:07:00,21,Rain
2018,Jun,16,13:44:00,21,Rain
2017,May,14,15:13:00,21,Rain
2017,Nov,30,13:34:00,21,Rain
2018,Oct,7,14:25:00,21,Rain
2017,Oct,23,03:34:00,21,Rain
2018,Sep,14,15:49:00,21,Rain
2018,Apr,16,05:30:00,21,Rain Shower
2017,Apr,18,00:45:00,21,Rain Shower
2018,Apr,21,22:59:00,21,Rain Shower
2018,Aug,3,15:47:00,21,Rain Shower
2018,Aug,16,16:35:00,21,Rain Shower
2018,Aug,26,00:22:00,21,Rain Shower
2017,Jul,4,15:40:00,21,Rain Shower
2018,Jul,10,01:17:00,21,Rain Shower
2017,Jul,18,12:11:00,21,Rain Shower
2018,Jul,30,22:03:00,21,Rain Shower
2017,Mar,28,19:40:00,21,Rain Shower
2017,Mar,28,21:11:00,21,Rain Shower
2017,Mar,28,22:45:00,21,Rain Shower
2017,Mar,29,22:20:00,21,Rain Shower
2018,May,8,01:25:00,21,Rain Shower
2017,May,10,23:03:00,21,Rain Shower
2018,May,20,03:38:00,21,Rain Shower
2017,Nov,1,00:41:00,21,Rain Shower
2018,Nov,9,21:53:00,21,Rain Shower
2018,Nov,17,03:08:00,21,Rain Shower
2018,Nov,26,22:58:00,21,Rain Shower
2018,Oct,14,22:08:00,21,Rain Shower
2018,Oct,16,00:33:00,21,Rain Shower
2018,Sep,14,23:49:00,21,Rain Shower
2016,May,7,19:53:00,21,Showers
2016,Nov,23,03:30:00,21,Showers
2016,Oct,9,18:16:00,21,Showers
2016,Oct,29,20:27:00,21,Showers
2016,Sep,9,16:26:00,21,Showers
2016,Sep,16,17:28:00,21,Showers
2016,Sep,21,17:29:00,21,Showers
2016,Sep,26,16:25:00,21,Showers
2016,Sep,29,20:22:00,21,Showers
2016,Jun,6,20:13:00,21,Thunderstorms
2016,Dec,16,10:44:00,22,Few Showers
2016,Sep,16,07:38:00,22,Few Showers
2016,Sep,19,21:24:00,22,Few Showers
2016,Nov,18,04:46:00,22,Isolated Thunderstorms
2017,Apr,14,22:50:00,22,Light Rain
2015,Dec,1,18:41:00,22,Light Rain
2015,Dec,3,01:03:00,22,Light Rain
2015,Dec,3,16:08:00,22,Light Rain
2015,Dec,3,08:35:00,22,Light Rain
2015,Dec,7,16:36:00,22,Light Rain
2015,Dec,8,00:11:00,22,Light Rain
2018,Dec,26,06:54:00,22,Light Rain
2018,Dec,27,00:54:00,22,Light Rain
2016,Feb,21,22:56:00,22,Light Rain
2018,Jan,9,02:42:00,22,Light Rain
2016,Jan,18,21:04:00,22,Light Rain
2016,Jan,19,11:19:00,22,Light Rain
2016,Jan,20,18:37:00,22,Light Rain
2016,Jan,20,23:15:00,22,Light Rain
2016,Jan,21,00:44:00,22,Light Rain
2016,Jan,22,09:03:00,22,Light Rain
2017,Jul,1,17:13:00,22,Light Rain
2018,Jul,9,18:52:00,22,Light Rain
2018,Jun,14,07:46:00,22,Light Rain
2017,Jun,23,17:09:00,22,Light Rain
2016,Mar,2,04:49:00,22,Light Rain
2018,May,13,07:51:00,22,Light Rain
2018,Nov,2,05:39:00,22,Light Rain
2015,Nov,4,22:12:00,22,Light Rain
2018,Nov,4,20:31:00,22,Light Rain
2017,Nov,5,23:25:00,22,Light Rain
2015,Nov,8,00:02:00,22,Light Rain
2015,Nov,25,23:48:00,22,Light Rain
2018,Nov,26,02:28:00,22,Light Rain
2018,Oct,7,22:45:00,22,Light Rain
2018,Oct,14,18:13:00,22,Light Rain
2018,Oct,25,08:12:00,22,Light Rain
2015,Oct,28,22:03:00,22,Light Rain
2015,Oct,29,02:48:00,22,Light Rain
2015,Oct,29,06:55:00,22,Light Rain
2015,Sep,25,23:30:00,22,Light Rain
2018,Sep,28,03:37:00,22,Light Rain
2015,Sep,29,06:10:00,22,Light Rain
2015,Nov,23,09:12:00,22,Light Rain with Thunder
2017,Apr,22,05:09:00,22,Rain
2018,Aug,25,20:42:00,22,Rain
2017,Dec,7,20:19:00,22,Rain
2018,Jun,7,15:32:00,22,Rain
2018,Jun,13,17:51:00,22,Rain
2016,Mar,1,15:23:00,22,Rain
2017,Mar,19,21:38:00,22,Rain
2018,Mar,30,11:32:00,22,Rain
2017,May,21,23:12:00,22,Rain
2018,Nov,7,22:38:00,22,Rain
2017,Nov,10,23:03:00,22,Rain
2017,Nov,21,00:52:00,22,Rain
2017,Nov,30,20:44:00,22,Rain
2017,Oct,7,14:58:00,22,Rain
2017,Oct,23,11:44:00,22,Rain
2017,Oct,26,18:35:00,22,Rain
2017,Oct,30,13:06:00,22,Rain
2018,Sep,3,19:37:00,22,Rain
2017,Sep,30,09:30:00,22,Rain
2018,Apr,7,23:13:00,22,Rain Shower
2017,Apr,18,08:45:00,22,Rain Shower
2018,Apr,23,16:02:00,22,Rain Shower
2018,Aug,1,11:03:00,22,Rain Shower
2018,Aug,2,13:03:00,22,Rain Shower
2017,Dec,12,02:47:00,22,Rain Shower
2017,Dec,12,04:22:00,22,Rain Shower
2017,Dec,12,18:27:00,22,Rain Shower
2017,Feb,2,23:09:00,22,Rain Shower
2018,Feb,6,23:38:00,22,Rain Shower
2018,Jan,5,09:01:00,22,Rain Shower
2018,Jan,8,23:17:00,22,Rain Shower
2018,Jan,8,00:07:00,22,Rain Shower
2018,Jul,3,19:13:00,22,Rain Shower
2018,Jul,4,09:13:00,22,Rain Shower
2018,Jun,17,17:19:00,22,Rain Shower
2017,Mar,20,20:26:00,22,Rain Shower
2017,May,3,15:35:00,22,Rain Shower
2018,May,6,21:48:00,22,Rain Shower
2017,Nov,6,15:10:00,22,Rain Shower
2017,Nov,11,15:58:00,22,Rain Shower
2017,Nov,11,17:28:00,22,Rain Shower
