Year,Month,Day,Time,Temp_C,Condition
2018,10,21,06:01:00,15,Rain Shower
2017,8,5,21:18:00,16,Rain Shower
2018,8,27,04:41:00,16,Rain Shower
2018,7,11,20:27:00,16,Rain Shower
2016,7,29,03:42:00,16,Showers
2016,6,21,07:01:00,16,Showers
2016,9,22,06:03:00,17,Few Showers
2017,8,21,13:41:00,17,Light Rain
2017,8,5,04:08:00,17,Rain Shower
2018,8,6,22:58:00,17,Rain Shower
2018,8,7,01:13:00,17,Rain Shower
2018,8,7,03:38:00,17,Rain Shower
2018,8,26,19:46:00,17,Rain Shower
2018,8,26,22:01:00,17,Rain Shower
2017,5,12,03:03:00,17,Rain Shower
2018,9,5,21:52:00,17,Rain Shower
2016,4,29,07:02:00,17,Showers
2016,11,19,04:46:00,17,Showers
2017,8,18,01:22:00,18,Light Rain
2018,6,15,04:41:00,18,Light Rain
2017,5,11,21:58:00,18,Light Rain
2018,8,1,22:03:00,18,Rain
2018,8,2,00:33:00,18,Rain
2017,8,21,05:46:00,18,Rain
2018,11,21,02:48:00,18,Rain
2018,8,2,21:37:00,18,Rain Shower
2018,8,4,02:52:00,18,Rain Shower
2017,8,5,18:53:00,18,Rain Shower
2017,8,20,23:51:00,18,Rain Shower
2018,8,26,17:27:00,18,Rain Shower
2017,7,2,17:15:00,18,Rain Shower
2018,6,17,06:39:00,18,Rain Shower
2018,5,23,21:34:00,18,Rain Shower
2017,9,1,02:39:00,18,Rain Shower
2016,6,7,07:03:00,18,Showers
2016,6,7,20:13:00,18,Showers
2016,5,13,19:22:00,18,Showers
2016,5,15,02:50:00,18,Showers
2016,9,30,04:26:00,19,Few Showers
2017,4,23,04:46:00,19,Light Rain
2018,8,6,06:58:00,19,Light Rain
2017,7,4,17:10:00,19,Light Rain
2018,7,31,19:48:00,19,Light Rain
2018,6,18,21:38:00,19,Light Rain
2017,5,18,01:43:00,19,Light Rain
2017,5,19,03:44:00,19,Light Rain
2015,10,5,22:07:00,19,Light Rain
2015,10,19,06:34:00,19,Light Rain
2017,4,28,10:02:00,19,Rain
2018,8,1,17:03:00,19,Rain
2017,8,18,16:57:00,19,Rain
2018,7,25,02:32:00,19,Rain
2016,6,3,22:52:00,19,Rain
2018,6,5,18:16:00,19,Rain
2018,6,7,06:47:00,19,Rain
2017,6,20,22:41:00,19,Rain
2017,11,9,15:03:00,19,Rain
2016,9,1,02:02:00,19,Rain
2017,9,27,17:20:00,19,Rain
2017,4,1,23:47:00,19,Rain Shower
2018,8,3,23:32:00,19,Rain Shower
2017,8,4,19:43:00,19,Rain Shower
2017,8,10,22:48:00,19,Rain Shower
2017,8,16,17:42:00,19,Rain Shower
2018,8,16,21:35:00,19,Rain Shower
2018,8,17,18:01:00,19,Rain Shower
2018,6,4,10:16:00,19,Rain Shower
2018,6,15,17:54:00,19,Rain Shower
2018,6,16,22:49:00,19,Rain Shower
2017,5,7,23:07:00,19,Rain Shower
2018,5,25,22:46:00,19,Rain Shower
2018,11,20,20:03:00,19,Rain Shower
2018,10,6,20:25:00,19,Rain Shower
2018,10,28,23:22:00,19,Rain Shower
2016,4,29,20:07:00,19,Showers
2016,6,2,04:51:00,19,Showers
2016,6,4,06:50:00,19,Showers
2016,10,5,02:27:00,19,Showers
2016,9,1,08:02:00,19,Showers
2016,12,1,00:26:00,20,Few Showers
2016,9,8,00:31:00,20,Few Showers
2017,8,19,19:51:00,20,Light Rain
2018,8,26,06:22:00,20,Light Rain
2016,1,19,07:34:00,20,Light Rain
2018,7,22,04:28:00,20,Light Rain
2015,11,21,12:38:00,20,Light Rain
2015,10,5,06:56:00,20,Light Rain
2015,10,5,19:53:00,20,Light Rain
2018,10,6,18:10:00,20,Light Rain
2015,10,18,18:53:00,20,Light Rain
2015,10,18,08:23:00,20,Light Rain
2018,8,6,11:18:00,20,Rain
2018,2,6,03:05:00,20,Rain
2018,9,14,19:49:00,20,Rain
2018,8,7,15:58:00,20,Rain Shower
2017,8,15,18:49:00,20,Rain Shower
2018,8,27,14:41:00,20,Rain Shower
2017,8,31,18:39:00,20,Rain Shower
2018,7,21,22:28:00,20,Rain Shower
2018,7,24,21:22:00,20,Rain Shower
2018,6,4,16:16:00,20,Rain Shower
2018,6,8,00:17:00,20,Rain Shower
2017,11,1,04:36:00,20,Rain Shower
2018,10,29,09:21:00,20,Rain Shower
2016,6,2,23:29:00,20,Showers
2016,10,2,18:07:00,21,Few Showers
2016,10,6,07:37:00,21,Few Showers
