,yyyy,mm,tmax_C,tmin_C,af,rain_mm,sun_hours
0,1853,Jan,8.4,2.7,4.0,62.8,
1,1853,Feb,3.2,-1.8,19.0,29.3,
2,1853,Mar,7.7,-0.6,20.0,25.9,
3,1853,Apr,12.6,4.5,0.0,60.1,
4,1853,May,16.8,6.1,0.0,59.5,
5,1853,Jun,20.1,10.7,0.0,82.0,
6,1853,Jul,21.2,12.2,0.0,86.2,
7,1853,Aug,20.2,10.8,0.0,72.3,
8,1853,Sep,17.3,8.4,0.0,51.3,
9,1853,Oct,13.9,7.4,0.0,102.3,
10,1853,Nov,8.7,2.3,10.0,49.6,
11,1853,Dec,3.7,-1.3,19.0,10.7,
12,1854,Jan,6.7,1.5,11.0,54.5,
13,1854,Feb,8.0,0.6,12.0,22.6,
14,1854,Mar,11.2,2.2,8.0,10.6,
15,1854,Apr,15.0,3.5,2.0,19.9,
16,1854,May,16.2,5.7,1.0,82.1,
17,1854,Jun,18.6,9.7,0.0,45.2,
18,1854,Jul,21.7,11.6,0.0,37.2,
19,1854,Aug,20.9,10.7,0.0,45.4,
20,1854,Sep,20.2,8.4,0.0,11.4,
21,1854,Oct,13.9,5.6,2.0,57.7,
22,1854,Nov,8.2,2.0,5.0,32.4,
23,1854,Dec,8.3,2.1,8.0,30.7,
24,1855,Jan,4.4,-0.4,18.0,6.9,
25,1855,Feb,1.7,-4.5,20.0,33.7,
26,1855,Mar,7.7,0.1,15.0,56.0,
27,1855,Apr,13.0,2.7,9.0,10.6,
28,1855,May,15.0,4.9,3.0,45.1,
29,1855,Jun,19.4,9.3,0.0,60.0,
30,1855,Jul,22.8,13.4,0.0,129.3,
31,1855,Aug,21.7,12.2,0.0,42.6,
32,1855,Sep,19.0,10.4,0.0,59.7,
33,1855,Oct,14.0,8.2,0.0,143.1,
34,1855,Nov,7.9,3.4,4.0,25.2,
35,1855,Dec,5.7,-0.1,13.0,28.1,
36,1856,Jan,6.8,2.0,10.0,74.7,
37,1856,Feb,8.2,3.0,8.0,33.4,
38,1856,Mar,7.9,0.6,11.0,23.9,
39,1856,Apr,12.9,4.1,2.0,64.9,
40,1856,May,14.0,5.7,2.0,110.1,
41,1856,Jun,20.2,9.5,0.0,64.8,
42,1856,Jul,22.2,11.3,0.0,15.8,
43,1856,Aug,22.7,12.5,0.0,81.8,
44,1856,Sep,16.8,8.5,0.0,80.3,
45,1856,Oct,13.9,6.9,1.0,60.3,
46,1856,Nov,8.1,2.3,8.0,24.2,
47,1856,Dec,7.3,1.4,12.0,52.0,
48,1857,Jan,5.1,-0.6,17.0,80.7,
49,1857,Feb,7.6,0.4,11.0,8.2,
50,1857,Mar,9.1,1.8,10.0,39.2,
51,1857,Apr,11.9,3.7,3.0,51.3,
52,1857,May,16.5,6.3,4.0,30.3,
53,1857,Jun,22.0,10.6,0.0,77.0,
54,1857,Jul,22.0,12.7,0.0,80.5,
55,1857,Aug,22.8,13.2,0.0,93.5,
56,1857,Sep,19.0,11.2,0.0,99.0,
57,1857,Oct,14.6,7.8,0.0,116.3,
58,1857,Nov,10.2,4.5,2.0,42.6,
59,1857,Dec,9.6,4.5,3.0,16.8,
60,1858,Jan,6.4,-0.1,20.0,17.3,
61,1858,Feb,4.7,-1.2,18.0,45.0,
62,1858,Mar,9.4,1.1,12.0,20.4,
63,1858,Apr,13.1,4.0,2.0,90.1,
64,1858,May,15.9,6.2,0.0,59.5,
65,1858,Jun,23.6,11.9,0.0,40.4,
66,1858,Jul,20.8,10.6,0.0,58.3,
67,1858,Aug,21.4,11.3,0.0,36.4,
68,1858,Sep,19.5,11.2,0.0,63.4,
69,1858,Oct,13.4,6.9,0.0,50.4,
70,1858,Nov,7.4,0.8,12.0,17.9,
71,1858,Dec,7.2,2.4,2.0,54.5,
72,1859,Jan,7.5,1.8,9.0,20.8,
73,1859,Feb,9.4,2.7,5.0,43.1,
74,1859,Mar,11.2,4.7,4.0,38.2,
75,1859,Apr,12.3,3.5,8.0,63.9,
76,1859,May,16.6,6.7,0.0,47.3,
77,1859,Jun,20.7,11.1,0.0,57.4,
78,1859,Jul,25.1,13.7,0.0,71.2,
79,1859,Aug,21.8,12.5,0.0,97.2,
80,1859,Sep,17.4,9.4,0.0,89.8,
81,1859,Oct,13.7,6.6,6.0,76.3,
82,1859,Nov,8.5,1.5,8.0,52.8,
83,1859,Dec,5.0,-1.1,14.0,46.6,
84,1860,Jan,6.8,0.8,12.0,82.8,
85,1860,Feb,5.2,-1.6,20.0,32.6,
86,1860,Mar,8.4,1.9,8.0,48.4,
87,1860,Apr,10.6,1.7,5.0,14.8,
88,1860,May,17.0,7.7,0.0,70.9,
89,1860,Jun,17.0,9.5,0.0,129.8,
90,1860,Jul,19.3,10.3,0.0,60.8,
91,1860,Aug,17.9,10.9,0.0,96.7,
92,1860,Sep,15.6,7.0,0.0,64.0,
93,1860,Oct,13.4,7.3,1.0,39.9,
94,1860,Nov,7.4,2.1,2.0,82.1,
95,1860,Dec,4.4,,,66.6,
96,1861,Jan,3.8,-0.7,16.0,16.8,
